-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     417.920us         0.01%     417.920us       1.327us           315  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 3, true...         0.00%       0.000us         0.00%       0.000us       0.000us     367.201us         0.01%     367.201us       4.080us            90  
triton_poi_fused_add_arange_bitwise_and_constant_pad...         0.00%       0.000us         0.00%       0.000us       0.000us     363.777us         0.01%     363.777us       2.205us           165  
                                               memset32         0.00%       0.000us         0.00%       0.000us       0.000us     360.704us         0.01%     360.704us       1.227us           294  
                                   _moe_C::grouped_topk         0.02%     426.034us         0.05%       1.453ms      19.373us     357.729us         0.01%     357.729us       4.770us            75  
triton_red_fused_fused_add_rms_norm_moe_forward_shar...         0.03%     949.334us         0.04%       1.227ms      16.367us     355.585us         0.01%     355.585us       4.741us            75  
nvjet_sm121_tst_mma_192x16x64_3_32x16x64_tmaAB_split...         0.00%       0.000us         0.00%       0.000us       0.000us     345.984us         0.01%     345.984us      16.475us            21  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.810s
Self CUDA time total: 2.790s

