-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     463.488us         0.02%     463.488us       1.471us           315  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     432.129us         0.02%     432.129us       1.372us           315  
                                              aten::all         0.02%     696.081us         0.04%       1.148ms      14.724us     413.057us         0.01%     413.057us       5.296us            78  
                                            aten::fill_         0.04%       1.232ms         0.14%       3.808ms       9.995us     407.584us         0.01%     410.496us       1.077us           381  
                                   _moe_C::grouped_topk         0.02%     472.609us         0.06%       1.575ms      20.999us     364.288us         0.01%     364.288us       4.857us            75  
                                               memset32         0.00%       0.000us         0.00%       0.000us       0.000us     352.673us         0.01%     352.673us       1.200us           294  
nvjet_sm121_tst_mma_192x16x64_3_32x16x64_tmaAB_split...         0.00%       0.000us         0.00%       0.000us       0.000us     352.162us         0.01%     352.162us      16.770us            21  
                                           _C::rms_norm         0.01%     416.738us         0.03%     795.250us       7.574us     344.129us         0.01%     344.129us       3.277us           105  
                  _C_cache_ops::reshape_and_cache_flash         0.01%     347.792us         0.02%     647.889us       7.199us     342.112us         0.01%     342.112us       3.801us            90  
                                       _C::silu_and_mul         0.01%     306.048us         0.02%     640.721us       8.543us     334.240us         0.01%     334.240us       4.457us            75  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us     334.240us         0.01%     334.240us       4.457us            75  
                     _C_cache_ops::concat_and_cache_mla         0.01%     422.451us         0.03%     784.627us      10.059us     325.409us         0.01%     325.409us       4.172us            78  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.820s
Self CUDA time total: 2.779s

